"combination","training_type","location","equipment","focus","current_notice","decision","reason","proposed_correction","applied_correction"
"strength>place_gym>adductor_machine>full_body","strength","place_gym","adductor_machine","full_body","Este foco tem exercícios relacionados, mas nenhum compatível com o equipamento/local selecionado.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>smith_machine>full_body","strength","place_gym","smith_machine","full_body","Esta opção ainda não está disponível nesta versão porque não tem exercícios específicos aprovados.","HIDE_UNTIL_CONTENT_EXISTS","Opção comum sem conteúdo específico aprovado.","Ocultar a opção numa fase futura se continuar sem conteúdo.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>squat_rack>full_body","strength","place_gym","squat_rack","full_body","Este foco tem exercícios relacionados, mas nenhum compatível com o equipamento/local selecionado.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>adjustable_bench>full_body","strength","place_gym","adjustable_bench","full_body","Este foco tem exercícios relacionados, mas nenhum compatível com o equipamento/local selecionado.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>flat_bench>full_body","strength","place_gym","flat_bench","full_body","Este foco tem exercícios relacionados, mas nenhum compatível com o equipamento/local selecionado.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>incline_bench>full_body","strength","place_gym","incline_bench","full_body","Este foco tem exercícios relacionados, mas nenhum compatível com o equipamento/local selecionado.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>decline_bench>full_body","strength","place_gym","decline_bench","full_body","Este foco tem exercícios relacionados, mas nenhum compatível com o equipamento/local selecionado.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>treadmill>full_body","strength","place_gym","treadmill","full_body","Esta combinação de menu não deve ser usada diretamente nesta versão.","INVALID_MENU_ROUTE","Combinação visível demasiado artificial para o fluxo real.","Remover a rota gerada da matriz se a UI real não a permitir.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bike>full_body","strength","place_gym","bike","full_body","Este foco tem exercícios relacionados, mas nenhum compatível com o equipamento/local selecionado.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>elliptical>full_body","strength","place_gym","elliptical","full_body","Este foco tem exercícios relacionados, mas nenhum compatível com o equipamento/local selecionado.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>rower>full_body","strength","place_gym","rower","full_body","Este foco tem exercícios relacionados, mas nenhum compatível com o equipamento/local selecionado.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>stepper>full_body","strength","place_gym","stepper","full_body","Este foco tem exercícios relacionados, mas nenhum compatível com o equipamento/local selecionado.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>air_bike>full_body","strength","place_gym","air_bike","full_body","Este foco tem exercícios relacionados, mas nenhum compatível com o equipamento/local selecionado.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>jump_rope>full_body","strength","place_gym","jump_rope","full_body","Este foco tem exercícios relacionados, mas nenhum compatível com o equipamento/local selecionado.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>broomstick>full_body","strength","place_gym","broomstick","full_body","Este foco tem exercícios relacionados, mas nenhum compatível com o equipamento/local selecionado.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bench>full_body","strength","place_gym","bench","full_body","Este foco tem exercícios relacionados, mas nenhum compatível com o equipamento/local selecionado.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>chair_support>full_body","strength","place_gym","chair_support","full_body","Este foco tem exercícios relacionados, mas nenhum compatível com o equipamento/local selecionado.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>stable_step>full_body","strength","place_gym","stable_step","full_body","Este foco tem exercícios relacionados, mas nenhum compatível com o equipamento/local selecionado.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>wall>full_body","strength","place_gym","wall","full_body","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>neck>neck_complete","strength","place_gym","bodyweight","upper / neck / neck_complete","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>neck>anterior_neck","strength","place_gym","bodyweight","upper / neck / anterior_neck","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>neck>posterior_neck","strength","place_gym","bodyweight","upper / neck / posterior_neck","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>neck>lateral_neck","strength","place_gym","bodyweight","upper / neck / lateral_neck","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>neck>cervical_stabilizers","strength","place_gym","bodyweight","upper / neck / cervical_stabilizers","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>traps_scapula>traps_complete","strength","place_gym","bodyweight","upper / traps_scapula / traps_complete","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>traps_scapula>upper_traps","strength","place_gym","bodyweight","upper / traps_scapula / upper_traps","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>traps_scapula>mid_traps","strength","place_gym","bodyweight","upper / traps_scapula / mid_traps","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>traps_scapula>lower_traps","strength","place_gym","bodyweight","upper / traps_scapula / lower_traps","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>traps_scapula>scapular_stability","strength","place_gym","bodyweight","upper / traps_scapula / scapular_stability","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>chest>chest_complete","strength","place_gym","bodyweight","upper / chest / chest_complete","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>back>back_complete","strength","place_gym","bodyweight","upper / back / back_complete","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>back>back_upper","strength","place_gym","bodyweight","upper / back / back_upper","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>back>back_upper>upper_traps","strength","place_gym","bodyweight","upper / back / back_upper / upper_traps","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>back>back_upper>mid_traps","strength","place_gym","bodyweight","upper / back / back_upper / mid_traps","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>back>back_upper>lower_traps","strength","place_gym","bodyweight","upper / back / back_upper / lower_traps","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>back>back_upper>rhomboids","strength","place_gym","bodyweight","upper / back / back_upper / rhomboids","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>back>back_upper>posterior_deltoid","strength","place_gym","bodyweight","upper / back / back_upper / posterior_deltoid","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>back>back_upper>scapular_stabilizers","strength","place_gym","bodyweight","upper / back / back_upper / scapular_stabilizers","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>back>back_mid","strength","place_gym","bodyweight","upper / back / back_mid","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>back>back_mid>rhomboids","strength","place_gym","bodyweight","upper / back / back_mid / rhomboids","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>back>back_mid>mid_traps","strength","place_gym","bodyweight","upper / back / back_mid / mid_traps","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>back>back_mid>teres_major","strength","place_gym","bodyweight","upper / back / back_mid / teres_major","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>back>back_mid>teres_minor","strength","place_gym","bodyweight","upper / back / back_mid / teres_minor","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>back>back_mid>latissimus_dorsi","strength","place_gym","bodyweight","upper / back / back_mid / latissimus_dorsi","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>back>back_lower","strength","place_gym","bodyweight","upper / back / back_lower","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>back>back_lower>erectors","strength","place_gym","bodyweight","upper / back / back_lower / erectors","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>back>back_lower>lumbar","strength","place_gym","bodyweight","upper / back / back_lower / lumbar","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>back>back_lower>quadratus_lumborum","strength","place_gym","bodyweight","upper / back / back_lower / quadratus_lumborum","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>back>back_lower>lumbar_stability","strength","place_gym","bodyweight","upper / back / back_lower / lumbar_stability","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>back>back_width","strength","place_gym","bodyweight","upper / back / back_width","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>back>back_width>latissimus_dorsi","strength","place_gym","bodyweight","upper / back / back_width / latissimus_dorsi","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>back>back_width>teres_major","strength","place_gym","bodyweight","upper / back / back_width / teres_major","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>back>back_width>vertical_pulls","strength","place_gym","bodyweight","upper / back / back_width / vertical_pulls","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>back>back_thickness","strength","place_gym","bodyweight","upper / back / back_thickness","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>back>back_thickness>rhomboids","strength","place_gym","bodyweight","upper / back / back_thickness / rhomboids","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>back>back_thickness>mid_traps","strength","place_gym","bodyweight","upper / back / back_thickness / mid_traps","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>back>back_thickness>lower_traps","strength","place_gym","bodyweight","upper / back / back_thickness / lower_traps","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>back>back_thickness>horizontal_rows","strength","place_gym","bodyweight","upper / back / back_thickness / horizontal_rows","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>shoulders>shoulders_complete","strength","place_gym","bodyweight","upper / shoulders / shoulders_complete","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>shoulders>anterior_deltoid","strength","place_gym","bodyweight","upper / shoulders / anterior_deltoid","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>shoulders>lateral_deltoid","strength","place_gym","bodyweight","upper / shoulders / lateral_deltoid","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>shoulders>posterior_deltoid","strength","place_gym","bodyweight","upper / shoulders / posterior_deltoid","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>shoulders>rotator_cuff","strength","place_gym","bodyweight","upper / shoulders / rotator_cuff","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>shoulders>external_rotators","strength","place_gym","bodyweight","upper / shoulders / external_rotators","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>shoulders>internal_rotators","strength","place_gym","bodyweight","upper / shoulders / internal_rotators","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>shoulders>scapular_stability","strength","place_gym","bodyweight","upper / shoulders / scapular_stability","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>arms>arms_complete","strength","place_gym","bodyweight","upper / arms / arms_complete","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>arms>upper_arm","strength","place_gym","bodyweight","upper / arms / upper_arm","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>arms>upper_arm>brachialis","strength","place_gym","bodyweight","upper / arms / upper_arm / brachialis","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>arms>upper_arm>brachioradialis","strength","place_gym","bodyweight","upper / arms / upper_arm / brachioradialis","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>arms>upper_arm>triceps_long","strength","place_gym","bodyweight","upper / arms / upper_arm / triceps_long","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>arms>upper_arm>triceps_lateral","strength","place_gym","bodyweight","upper / arms / upper_arm / triceps_lateral","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>arms>upper_arm>triceps_medial","strength","place_gym","bodyweight","upper / arms / upper_arm / triceps_medial","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>arms>forearm_hand","strength","place_gym","bodyweight","upper / arms / forearm_hand","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>arms>forearm_hand>forearm_complete","strength","place_gym","bodyweight","upper / arms / forearm_hand / forearm_complete","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_gym>bodyweight>upper>arms>forearm_hand>forearm_flexors","strength","place_gym","bodyweight","upper / arms / forearm_hand / forearm_flexors","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
