"nome_proposto","categoria","subcategoria","menu_onde_vai_aparecer","musculos_zona_articulacao","equipamento","local","motivo_da_necessidade","lacuna_que_resolve","prioridade","risco_de_duplicacao","tipo_de_inclusao","depende_de_aprovacao_humana","quando_pode_ser_adicionado"
"corda leve - cardiorrespiratório/anca - proposta 005","cardio","corda leve","Cardio > Casa","cardiorrespiratório/anca","jump_rope","casa","cria alternativa de baixa intensidade","nível iniciante","P0","baixo","essencial","nao","v0.9.9B"
"passadeira técnica - cardiorrespiratório/tornozelo - proposta 006","cardio","passadeira técnica","Cardio > Outdoor","cardiorrespiratório/tornozelo","treadmill","exterior","melhora cobertura de cardio não-HIIT","baixo impacto","P1","baixo","essencial","nao","v0.9.9B"
"bicicleta ritmo controlado - cardiorrespiratório/joelho - proposta 007","cardio","bicicleta ritmo controlado","Cardio > Ginásio","cardiorrespiratório/joelho","stationary_bike","ginásio","fecha lacunas de equipamento ativo","equipamento cardio","P1","baixo","essencial","nao","v0.9.9B"
"elíptica base - cardiorrespiratório/anca - proposta 008","cardio","elíptica base","Cardio > Casa","cardiorrespiratório/anca","elliptical","casa","cria alternativa de baixa intensidade","nível iniciante","P1","baixo","essencial","nao","v0.9.9B"
"remo ergómetro - cardiorrespiratório/tornozelo - proposta 009","cardio","remo ergómetro","Cardio > Outdoor","cardiorrespiratório/tornozelo","rowing_machine","exterior","melhora cobertura de cardio não-HIIT","baixo impacto","P1","baixo","essencial","nao","v0.9.9B"
"corda leve - cardiorrespiratório/joelho - proposta 010","cardio","corda leve","Cardio > Ginásio","cardiorrespiratório/joelho","jump_rope","ginásio","fecha lacunas de equipamento ativo","equipamento cardio","P1","baixo","essencial","nao","v0.9.9B"
"passadeira técnica - cardiorrespiratório/anca - proposta 011","cardio","passadeira técnica","Cardio > Casa","cardiorrespiratório/anca","treadmill","casa","cria alternativa de baixa intensidade","nível iniciante","P2","baixo","expansao_futura","nao","v1.0_backlog"
"bicicleta ritmo controlado - cardiorrespiratório/tornozelo - proposta 012","cardio","bicicleta ritmo controlado","Cardio > Outdoor","cardiorrespiratório/tornozelo","stationary_bike","exterior","melhora cobertura de cardio não-HIIT","baixo impacto","P2","baixo","expansao_futura","nao","v1.0_backlog"
"elíptica base - cardiorrespiratório/joelho - proposta 013","cardio","elíptica base","Cardio > Ginásio","cardiorrespiratório/joelho","elliptical","ginásio","fecha lacunas de equipamento ativo","equipamento cardio","P2","baixo","expansao_futura","nao","v1.0_backlog"
"remo ergómetro - cardiorrespiratório/anca - proposta 014","cardio","remo ergómetro","Cardio > Casa","cardiorrespiratório/anca","rowing_machine","casa","cria alternativa de baixa intensidade","nível iniciante","P2","baixo","expansao_futura","nao","v1.0_backlog"
"corda leve - cardiorrespiratório/tornozelo - proposta 015","cardio","corda leve","Cardio > Outdoor","cardiorrespiratório/tornozelo","jump_rope","exterior","melhora cobertura de cardio não-HIIT","baixo impacto","P2","baixo","expansao_futura","nao","v1.0_backlog"
"karate kihon - técnica de base - proposta 001","artes_marciais","karate kihon","Artes marciais > Dojo > Karate","técnica de base","nenhum","dojo","cobre menus marciais gerais sem entrar em Shukokai final","modalidade marcial","P0","medio","essencial","sim","apos_aprovacao_humana"
"karate kata base - ancas/joelhos - proposta 002","artes_marciais","karate kata base","Artes marciais > Tatami > BJJ","ancas/joelhos","tatami","tatami","reduz dependência de fallback genérico","foco técnico","P0","medio","essencial","sim","apos_aprovacao_humana"
"kumite técnico - ombros/escápulas - proposta 003","artes_marciais","kumite técnico","Artes marciais > Saco/Aparadores","ombros/escápulas","saco","ginásio","melhora cobertura técnica para iniciantes","contexto dojo/tatami","P0","medio","essencial","sim","apos_aprovacao_humana"
"bunkai básico - core/rotação - proposta 004","artes_marciais","bunkai básico","Artes marciais > Defesa pessoal","core/rotação","aparadores","casa","cobre menus marciais gerais sem entrar em Shukokai final","modalidade marcial","P0","medio","essencial","sim","apos_aprovacao_humana"
"BJJ solo - equilíbrio/deslocamento - proposta 005","artes_marciais","BJJ solo","Artes marciais > Condicionamento","equilíbrio/deslocamento","kimono","dojo","reduz dependência de fallback genérico","foco técnico","P0","medio","essencial","sim","apos_aprovacao_humana"
"BJJ tatami - técnica de base - proposta 006","artes_marciais","BJJ tatami","Artes marciais > Dojo > Karate","técnica de base","cones","tatami","melhora cobertura técnica para iniciantes","contexto dojo/tatami","P0","medio","essencial","sim","apos_aprovacao_humana"
"defesa pessoal - ancas/joelhos - proposta 007","artes_marciais","defesa pessoal","Artes marciais > Tatami > BJJ","ancas/joelhos","nenhum","ginásio","cobre menus marciais gerais sem entrar em Shukokai final","modalidade marcial","P0","medio","essencial","sim","apos_aprovacao_humana"
"saco e aparadores - ombros/escápulas - proposta 008","artes_marciais","saco e aparadores","Artes marciais > Saco/Aparadores","ombros/escápulas","tatami","casa","reduz dependência de fallback genérico","foco técnico","P0","medio","essencial","sim","apos_aprovacao_humana"
"condicionamento marcial - core/rotação - proposta 009","artes_marciais","condicionamento marcial","Artes marciais > Defesa pessoal","core/rotação","saco","dojo","melhora cobertura técnica para iniciantes","contexto dojo/tatami","P0","medio","essencial","sim","apos_aprovacao_humana"
"mobilidade marcial - equilíbrio/deslocamento - proposta 010","artes_marciais","mobilidade marcial","Artes marciais > Condicionamento","equilíbrio/deslocamento","aparadores","tatami","cobre menus marciais gerais sem entrar em Shukokai final","modalidade marcial","P0","medio","essencial","sim","apos_aprovacao_humana"
"karate kihon - técnica de base - proposta 011","artes_marciais","karate kihon","Artes marciais > Dojo > Karate","técnica de base","kimono","ginásio","reduz dependência de fallback genérico","foco técnico","P0","medio","essencial","sim","apos_aprovacao_humana"
"karate kata base - ancas/joelhos - proposta 012","artes_marciais","karate kata base","Artes marciais > Tatami > BJJ","ancas/joelhos","cones","casa","melhora cobertura técnica para iniciantes","contexto dojo/tatami","P0","medio","essencial","sim","apos_aprovacao_humana"
"kumite técnico - ombros/escápulas - proposta 013","artes_marciais","kumite técnico","Artes marciais > Saco/Aparadores","ombros/escápulas","nenhum","dojo","cobre menus marciais gerais sem entrar em Shukokai final","modalidade marcial","P0","medio","essencial","sim","apos_aprovacao_humana"
"bunkai básico - core/rotação - proposta 014","artes_marciais","bunkai básico","Artes marciais > Defesa pessoal","core/rotação","tatami","tatami","reduz dependência de fallback genérico","foco técnico","P0","medio","essencial","sim","apos_aprovacao_humana"
"BJJ solo - equilíbrio/deslocamento - proposta 015","artes_marciais","BJJ solo","Artes marciais > Condicionamento","equilíbrio/deslocamento","saco","ginásio","melhora cobertura técnica para iniciantes","contexto dojo/tatami","P0","medio","essencial","sim","apos_aprovacao_humana"
"BJJ tatami - técnica de base - proposta 016","artes_marciais","BJJ tatami","Artes marciais > Dojo > Karate","técnica de base","aparadores","casa","cobre menus marciais gerais sem entrar em Shukokai final","modalidade marcial","P0","medio","essencial","sim","apos_aprovacao_humana"
"defesa pessoal - ancas/joelhos - proposta 017","artes_marciais","defesa pessoal","Artes marciais > Tatami > BJJ","ancas/joelhos","kimono","dojo","reduz dependência de fallback genérico","foco técnico","P0","medio","essencial","sim","apos_aprovacao_humana"
"saco e aparadores - ombros/escápulas - proposta 018","artes_marciais","saco e aparadores","Artes marciais > Saco/Aparadores","ombros/escápulas","cones","tatami","melhora cobertura técnica para iniciantes","contexto dojo/tatami","P0","medio","essencial","sim","apos_aprovacao_humana"
"condicionamento marcial - core/rotação - proposta 019","artes_marciais","condicionamento marcial","Artes marciais > Defesa pessoal","core/rotação","nenhum","ginásio","cobre menus marciais gerais sem entrar em Shukokai final","modalidade marcial","P0","medio","essencial","sim","apos_aprovacao_humana"
"mobilidade marcial - equilíbrio/deslocamento - proposta 020","artes_marciais","mobilidade marcial","Artes marciais > Condicionamento","equilíbrio/deslocamento","tatami","casa","reduz dependência de fallback genérico","foco técnico","P0","medio","essencial","sim","apos_aprovacao_humana"
"karate kihon - técnica de base - proposta 021","artes_marciais","karate kihon","Artes marciais > Dojo > Karate","técnica de base","saco","dojo","melhora cobertura técnica para iniciantes","contexto dojo/tatami","P0","medio","essencial","sim","apos_aprovacao_humana"
"karate kata base - ancas/joelhos - proposta 022","artes_marciais","karate kata base","Artes marciais > Tatami > BJJ","ancas/joelhos","aparadores","tatami","cobre menus marciais gerais sem entrar em Shukokai final","modalidade marcial","P0","medio","essencial","sim","apos_aprovacao_humana"
"kumite técnico - ombros/escápulas - proposta 023","artes_marciais","kumite técnico","Artes marciais > Saco/Aparadores","ombros/escápulas","kimono","ginásio","reduz dependência de fallback genérico","foco técnico","P0","medio","essencial","sim","apos_aprovacao_humana"
"bunkai básico - core/rotação - proposta 024","artes_marciais","bunkai básico","Artes marciais > Defesa pessoal","core/rotação","cones","casa","melhora cobertura técnica para iniciantes","contexto dojo/tatami","P0","medio","essencial","sim","apos_aprovacao_humana"
"BJJ solo - equilíbrio/deslocamento - proposta 025","artes_marciais","BJJ solo","Artes marciais > Condicionamento","equilíbrio/deslocamento","nenhum","dojo","cobre menus marciais gerais sem entrar em Shukokai final","modalidade marcial","P1","medio","essencial","sim","apos_aprovacao_humana"
"BJJ tatami - técnica de base - proposta 026","artes_marciais","BJJ tatami","Artes marciais > Dojo > Karate","técnica de base","tatami","tatami","reduz dependência de fallback genérico","foco técnico","P1","medio","essencial","sim","apos_aprovacao_humana"
"defesa pessoal - ancas/joelhos - proposta 027","artes_marciais","defesa pessoal","Artes marciais > Tatami > BJJ","ancas/joelhos","saco","ginásio","melhora cobertura técnica para iniciantes","contexto dojo/tatami","P1","medio","essencial","sim","apos_aprovacao_humana"
"saco e aparadores - ombros/escápulas - proposta 028","artes_marciais","saco e aparadores","Artes marciais > Saco/Aparadores","ombros/escápulas","aparadores","casa","cobre menus marciais gerais sem entrar em Shukokai final","modalidade marcial","P1","medio","essencial","sim","apos_aprovacao_humana"
"condicionamento marcial - core/rotação - proposta 029","artes_marciais","condicionamento marcial","Artes marciais > Defesa pessoal","core/rotação","kimono","dojo","reduz dependência de fallback genérico","foco técnico","P1","medio","essencial","sim","apos_aprovacao_humana"
"mobilidade marcial - equilíbrio/deslocamento - proposta 030","artes_marciais","mobilidade marcial","Artes marciais > Condicionamento","equilíbrio/deslocamento","cones","tatami","melhora cobertura técnica para iniciantes","contexto dojo/tatami","P1","medio","essencial","sim","apos_aprovacao_humana"
"karate kihon - técnica de base - proposta 031","artes_marciais","karate kihon","Artes marciais > Dojo > Karate","técnica de base","nenhum","ginásio","cobre menus marciais gerais sem entrar em Shukokai final","modalidade marcial","P1","medio","essencial","sim","apos_aprovacao_humana"
"karate kata base - ancas/joelhos - proposta 032","artes_marciais","karate kata base","Artes marciais > Tatami > BJJ","ancas/joelhos","tatami","casa","reduz dependência de fallback genérico","foco técnico","P1","medio","essencial","sim","apos_aprovacao_humana"
"kumite técnico - ombros/escápulas - proposta 033","artes_marciais","kumite técnico","Artes marciais > Saco/Aparadores","ombros/escápulas","saco","dojo","melhora cobertura técnica para iniciantes","contexto dojo/tatami","P1","medio","essencial","sim","apos_aprovacao_humana"
"bunkai básico - core/rotação - proposta 034","artes_marciais","bunkai básico","Artes marciais > Defesa pessoal","core/rotação","aparadores","tatami","cobre menus marciais gerais sem entrar em Shukokai final","modalidade marcial","P1","medio","essencial","sim","apos_aprovacao_humana"
"BJJ solo - equilíbrio/deslocamento - proposta 035","artes_marciais","BJJ solo","Artes marciais > Condicionamento","equilíbrio/deslocamento","kimono","ginásio","reduz dependência de fallback genérico","foco técnico","P1","medio","essencial","sim","apos_aprovacao_humana"
"BJJ tatami - técnica de base - proposta 036","artes_marciais","BJJ tatami","Artes marciais > Dojo > Karate","técnica de base","cones","casa","melhora cobertura técnica para iniciantes","contexto dojo/tatami","P1","medio","essencial","sim","apos_aprovacao_humana"
"defesa pessoal - ancas/joelhos - proposta 037","artes_marciais","defesa pessoal","Artes marciais > Tatami > BJJ","ancas/joelhos","nenhum","dojo","cobre menus marciais gerais sem entrar em Shukokai final","modalidade marcial","P1","medio","essencial","sim","apos_aprovacao_humana"
"saco e aparadores - ombros/escápulas - proposta 038","artes_marciais","saco e aparadores","Artes marciais > Saco/Aparadores","ombros/escápulas","tatami","tatami","reduz dependência de fallback genérico","foco técnico","P1","medio","essencial","sim","apos_aprovacao_humana"
"condicionamento marcial - core/rotação - proposta 039","artes_marciais","condicionamento marcial","Artes marciais > Defesa pessoal","core/rotação","saco","ginásio","melhora cobertura técnica para iniciantes","contexto dojo/tatami","P1","medio","essencial","sim","apos_aprovacao_humana"
"mobilidade marcial - equilíbrio/deslocamento - proposta 040","artes_marciais","mobilidade marcial","Artes marciais > Condicionamento","equilíbrio/deslocamento","aparadores","casa","cobre menus marciais gerais sem entrar em Shukokai final","modalidade marcial","P1","medio","essencial","sim","apos_aprovacao_humana"
"karate kihon - técnica de base - proposta 041","artes_marciais","karate kihon","Artes marciais > Dojo > Karate","técnica de base","kimono","dojo","reduz dependência de fallback genérico","foco técnico","P1","medio","essencial","sim","apos_aprovacao_humana"
"karate kata base - ancas/joelhos - proposta 042","artes_marciais","karate kata base","Artes marciais > Tatami > BJJ","ancas/joelhos","cones","tatami","melhora cobertura técnica para iniciantes","contexto dojo/tatami","P1","medio","essencial","sim","apos_aprovacao_humana"
"kumite técnico - ombros/escápulas - proposta 043","artes_marciais","kumite técnico","Artes marciais > Saco/Aparadores","ombros/escápulas","nenhum","ginásio","cobre menus marciais gerais sem entrar em Shukokai final","modalidade marcial","P1","medio","essencial","sim","apos_aprovacao_humana"
"bunkai básico - core/rotação - proposta 044","artes_marciais","bunkai básico","Artes marciais > Defesa pessoal","core/rotação","tatami","casa","reduz dependência de fallback genérico","foco técnico","P1","medio","essencial","sim","apos_aprovacao_humana"
"BJJ solo - equilíbrio/deslocamento - proposta 045","artes_marciais","BJJ solo","Artes marciais > Condicionamento","equilíbrio/deslocamento","saco","dojo","melhora cobertura técnica para iniciantes","contexto dojo/tatami","P1","medio","essencial","sim","apos_aprovacao_humana"
"BJJ tatami - técnica de base - proposta 046","artes_marciais","BJJ tatami","Artes marciais > Dojo > Karate","técnica de base","aparadores","tatami","cobre menus marciais gerais sem entrar em Shukokai final","modalidade marcial","P1","medio","essencial","sim","apos_aprovacao_humana"
"defesa pessoal - ancas/joelhos - proposta 047","artes_marciais","defesa pessoal","Artes marciais > Tatami > BJJ","ancas/joelhos","kimono","ginásio","reduz dependência de fallback genérico","foco técnico","P1","medio","essencial","sim","apos_aprovacao_humana"
"saco e aparadores - ombros/escápulas - proposta 048","artes_marciais","saco e aparadores","Artes marciais > Saco/Aparadores","ombros/escápulas","cones","casa","melhora cobertura técnica para iniciantes","contexto dojo/tatami","P1","medio","essencial","sim","apos_aprovacao_humana"
"condicionamento marcial - core/rotação - proposta 049","artes_marciais","condicionamento marcial","Artes marciais > Defesa pessoal","core/rotação","nenhum","dojo","cobre menus marciais gerais sem entrar em Shukokai final","modalidade marcial","P1","medio","essencial","sim","apos_aprovacao_humana"
"mobilidade marcial - equilíbrio/deslocamento - proposta 050","artes_marciais","mobilidade marcial","Artes marciais > Condicionamento","equilíbrio/deslocamento","tatami","tatami","reduz dependência de fallback genérico","foco técnico","P1","medio","essencial","sim","apos_aprovacao_humana"
"karate kihon - técnica de base - proposta 051","artes_marciais","karate kihon","Artes marciais > Dojo > Karate","técnica de base","saco","ginásio","melhora cobertura técnica para iniciantes","contexto dojo/tatami","P1","medio","essencial","sim","apos_aprovacao_humana"
"karate kata base - ancas/joelhos - proposta 052","artes_marciais","karate kata base","Artes marciais > Tatami > BJJ","ancas/joelhos","aparadores","casa","cobre menus marciais gerais sem entrar em Shukokai final","modalidade marcial","P1","medio","essencial","sim","apos_aprovacao_humana"
"kumite técnico - ombros/escápulas - proposta 053","artes_marciais","kumite técnico","Artes marciais > Saco/Aparadores","ombros/escápulas","kimono","dojo","reduz dependência de fallback genérico","foco técnico","P2","medio","expansao_futura","sim","apos_aprovacao_humana"
"bunkai básico - core/rotação - proposta 054","artes_marciais","bunkai básico","Artes marciais > Defesa pessoal","core/rotação","cones","tatami","melhora cobertura técnica para iniciantes","contexto dojo/tatami","P2","medio","expansao_futura","sim","apos_aprovacao_humana"
"BJJ solo - equilíbrio/deslocamento - proposta 055","artes_marciais","BJJ solo","Artes marciais > Condicionamento","equilíbrio/deslocamento","nenhum","ginásio","cobre menus marciais gerais sem entrar em Shukokai final","modalidade marcial","P2","medio","expansao_futura","sim","apos_aprovacao_humana"
"BJJ tatami - técnica de base - proposta 056","artes_marciais","BJJ tatami","Artes marciais > Dojo > Karate","técnica de base","tatami","casa","reduz dependência de fallback genérico","foco técnico","P2","medio","expansao_futura","sim","apos_aprovacao_humana"
"defesa pessoal - ancas/joelhos - proposta 057","artes_marciais","defesa pessoal","Artes marciais > Tatami > BJJ","ancas/joelhos","saco","dojo","melhora cobertura técnica para iniciantes","contexto dojo/tatami","P2","medio","expansao_futura","sim","apos_aprovacao_humana"
"saco e aparadores - ombros/escápulas - proposta 058","artes_marciais","saco e aparadores","Artes marciais > Saco/Aparadores","ombros/escápulas","aparadores","tatami","cobre menus marciais gerais sem entrar em Shukokai final","modalidade marcial","P2","medio","expansao_futura","sim","apos_aprovacao_humana"
"condicionamento marcial - core/rotação - proposta 059","artes_marciais","condicionamento marcial","Artes marciais > Defesa pessoal","core/rotação","kimono","ginásio","reduz dependência de fallback genérico","foco técnico","P2","medio","expansao_futura","sim","apos_aprovacao_humana"
"mobilidade marcial - equilíbrio/deslocamento - proposta 060","artes_marciais","mobilidade marcial","Artes marciais > Condicionamento","equilíbrio/deslocamento","cones","casa","melhora cobertura técnica para iniciantes","contexto dojo/tatami","P2","medio","expansao_futura","sim","apos_aprovacao_humana"
"karate kihon - técnica de base - proposta 061","artes_marciais","karate kihon","Artes marciais > Dojo > Karate","técnica de base","nenhum","dojo","cobre menus marciais gerais sem entrar em Shukokai final","modalidade marcial","P2","medio","expansao_futura","sim","apos_aprovacao_humana"
"karate kata base - ancas/joelhos - proposta 062","artes_marciais","karate kata base","Artes marciais > Tatami > BJJ","ancas/joelhos","tatami","tatami","reduz dependência de fallback genérico","foco técnico","P2","medio","expansao_futura","sim","apos_aprovacao_humana"
"kumite técnico - ombros/escápulas - proposta 063","artes_marciais","kumite técnico","Artes marciais > Saco/Aparadores","ombros/escápulas","saco","ginásio","melhora cobertura técnica para iniciantes","contexto dojo/tatami","P2","medio","expansao_futura","sim","apos_aprovacao_humana"
"bunkai básico - core/rotação - proposta 064","artes_marciais","bunkai básico","Artes marciais > Defesa pessoal","core/rotação","aparadores","casa","cobre menus marciais gerais sem entrar em Shukokai final","modalidade marcial","P2","medio","expansao_futura","sim","apos_aprovacao_humana"
"BJJ solo - equilíbrio/deslocamento - proposta 065","artes_marciais","BJJ solo","Artes marciais > Condicionamento","equilíbrio/deslocamento","kimono","dojo","reduz dependência de fallback genérico","foco técnico","P2","medio","expansao_futura","sim","apos_aprovacao_humana"
"BJJ tatami - técnica de base - proposta 066","artes_marciais","BJJ tatami","Artes marciais > Dojo > Karate","técnica de base","cones","tatami","melhora cobertura técnica para iniciantes","contexto dojo/tatami","P2","medio","expansao_futura","sim","apos_aprovacao_humana"
"defesa pessoal - ancas/joelhos - proposta 067","artes_marciais","defesa pessoal","Artes marciais > Tatami > BJJ","ancas/joelhos","nenhum","ginásio","cobre menus marciais gerais sem entrar em Shukokai final","modalidade marcial","P2","medio","expansao_futura","sim","apos_aprovacao_humana"
"saco e aparadores - ombros/escápulas - proposta 068","artes_marciais","saco e aparadores","Artes marciais > Saco/Aparadores","ombros/escápulas","tatami","casa","reduz dependência de fallback genérico","foco técnico","P2","medio","expansao_futura","sim","apos_aprovacao_humana"
"mobilidade torácica - coluna torácica - proposta 001","mobilidade","mobilidade torácica","Mobilidade > Casa","coluna torácica","nenhum","casa","cobre articulações visíveis com poucas opções","articulação","P0","baixo","essencial","nao","v0.9.9B"
"mobilidade anca - anca - proposta 002","mobilidade","mobilidade anca","Mobilidade > Ginásio","anca","foam_roller","ginásio","melhora preparação segura antes do treino","local","P0","baixo","essencial","nao","v0.9.9B"
"mobilidade tornozelo - tornozelo - proposta 003","mobilidade","mobilidade tornozelo","Mobilidade > Pré-treino","tornozelo","stick","dojo","dá alternativa sem equipamento","pré-treino","P0","baixo","essencial","nao","v0.9.9B"
"mobilidade ombro - ombro - proposta 004","mobilidade","mobilidade ombro","Mobilidade > Casa","ombro","wall","casa","cobre articulações visíveis com poucas opções","articulação","P0","baixo","essencial","nao","v0.9.9B"
"mobilidade punho - punho - proposta 005","mobilidade","mobilidade punho","Mobilidade > Ginásio","punho","bench","ginásio","melhora preparação segura antes do treino","local","P0","baixo","essencial","nao","v0.9.9B"
"mobilidade cervical - pescoço - proposta 006","mobilidade","mobilidade cervical","Mobilidade > Pré-treino","pescoço","nenhum","dojo","dá alternativa sem equipamento","pré-treino","P0","baixo","essencial","nao","v0.9.9B"
"mobilidade torácica - coluna torácica - proposta 007","mobilidade","mobilidade torácica","Mobilidade > Casa","coluna torácica","foam_roller","casa","cobre articulações visíveis com poucas opções","articulação","P0","baixo","essencial","nao","v0.9.9B"
"mobilidade anca - anca - proposta 008","mobilidade","mobilidade anca","Mobilidade > Ginásio","anca","stick","ginásio","melhora preparação segura antes do treino","local","P0","baixo","essencial","nao","v0.9.9B"
"mobilidade tornozelo - tornozelo - proposta 009","mobilidade","mobilidade tornozelo","Mobilidade > Pré-treino","tornozelo","wall","dojo","dá alternativa sem equipamento","pré-treino","P0","baixo","essencial","nao","v0.9.9B"
"mobilidade ombro - ombro - proposta 010","mobilidade","mobilidade ombro","Mobilidade > Casa","ombro","bench","casa","cobre articulações visíveis com poucas opções","articulação","P1","baixo","essencial","nao","v0.9.9B"
"mobilidade punho - punho - proposta 011","mobilidade","mobilidade punho","Mobilidade > Ginásio","punho","nenhum","ginásio","melhora preparação segura antes do treino","local","P1","baixo","essencial","nao","v0.9.9B"
"mobilidade cervical - pescoço - proposta 012","mobilidade","mobilidade cervical","Mobilidade > Pré-treino","pescoço","foam_roller","dojo","dá alternativa sem equipamento","pré-treino","P1","baixo","essencial","nao","v0.9.9B"
"mobilidade torácica - coluna torácica - proposta 013","mobilidade","mobilidade torácica","Mobilidade > Casa","coluna torácica","stick","casa","cobre articulações visíveis com poucas opções","articulação","P1","baixo","essencial","nao","v0.9.9B"
"mobilidade anca - anca - proposta 014","mobilidade","mobilidade anca","Mobilidade > Ginásio","anca","wall","ginásio","melhora preparação segura antes do treino","local","P1","baixo","essencial","nao","v0.9.9B"
"mobilidade tornozelo - tornozelo - proposta 015","mobilidade","mobilidade tornozelo","Mobilidade > Pré-treino","tornozelo","bench","dojo","dá alternativa sem equipamento","pré-treino","P1","baixo","essencial","nao","v0.9.9B"
"mobilidade ombro - ombro - proposta 016","mobilidade","mobilidade ombro","Mobilidade > Casa","ombro","nenhum","casa","cobre articulações visíveis com poucas opções","articulação","P1","baixo","essencial","nao","v0.9.9B"
"mobilidade punho - punho - proposta 017","mobilidade","mobilidade punho","Mobilidade > Ginásio","punho","foam_roller","ginásio","melhora preparação segura antes do treino","local","P1","baixo","essencial","nao","v0.9.9B"
"mobilidade cervical - pescoço - proposta 018","mobilidade","mobilidade cervical","Mobilidade > Pré-treino","pescoço","stick","dojo","dá alternativa sem equipamento","pré-treino","P1","baixo","essencial","nao","v0.9.9B"
"mobilidade torácica - coluna torácica - proposta 019","mobilidade","mobilidade torácica","Mobilidade > Casa","coluna torácica","wall","casa","cobre articulações visíveis com poucas opções","articulação","P1","baixo","essencial","nao","v0.9.9B"
"mobilidade anca - anca - proposta 020","mobilidade","mobilidade anca","Mobilidade > Ginásio","anca","bench","ginásio","melhora preparação segura antes do treino","local","P1","baixo","essencial","nao","v0.9.9B"
"mobilidade tornozelo - tornozelo - proposta 021","mobilidade","mobilidade tornozelo","Mobilidade > Pré-treino","tornozelo","nenhum","dojo","dá alternativa sem equipamento","pré-treino","P2","baixo","expansao_futura","nao","v1.0_backlog"
"mobilidade ombro - ombro - proposta 022","mobilidade","mobilidade ombro","Mobilidade > Casa","ombro","foam_roller","casa","cobre articulações visíveis com poucas opções","articulação","P2","baixo","expansao_futura","nao","v1.0_backlog"
"mobilidade punho - punho - proposta 023","mobilidade","mobilidade punho","Mobilidade > Ginásio","punho","stick","ginásio","melhora preparação segura antes do treino","local","P2","baixo","expansao_futura","nao","v1.0_backlog"
"mobilidade cervical - pescoço - proposta 024","mobilidade","mobilidade cervical","Mobilidade > Pré-treino","pescoço","wall","dojo","dá alternativa sem equipamento","pré-treino","P2","baixo","expansao_futura","nao","v1.0_backlog"
"mobilidade torácica - coluna torácica - proposta 025","mobilidade","mobilidade torácica","Mobilidade > Casa","coluna torácica","bench","casa","cobre articulações visíveis com poucas opções","articulação","P2","baixo","expansao_futura","nao","v1.0_backlog"
"mobilidade anca - anca - proposta 026","mobilidade","mobilidade anca","Mobilidade > Ginásio","anca","nenhum","ginásio","melhora preparação segura antes do treino","local","P2","baixo","expansao_futura","nao","v1.0_backlog"
"mobilidade tornozelo - tornozelo - proposta 027","mobilidade","mobilidade tornozelo","Mobilidade > Pré-treino","tornozelo","foam_roller","dojo","dá alternativa sem equipamento","pré-treino","P2","baixo","expansao_futura","nao","v1.0_backlog"
"alongamento cadeia posterior - isquiotibiais - proposta 001","elasticidade","alongamento cadeia posterior","Elasticidade > Casa","isquiotibiais","nenhum","casa","fecha lacunas por zona corporal","zona corporal","P0","baixo","essencial","nao","v0.9.9B"
"alongamento flexores da anca - flexores da anca - proposta 002","elasticidade","alongamento flexores da anca","Elasticidade > Pós-treino","flexores da anca","strap","ginásio","melhora opções de pós-treino","regressão","P0","baixo","essencial","nao","v0.9.9B"
"alongamento peitoral - peitoral - proposta 003","elasticidade","alongamento peitoral","Elasticidade > Recuperação","peitoral","wall","dojo","cria regressões para iniciantes","pós-treino","P0","baixo","essencial","nao","v0.9.9B"
"alongamento gémeos - gémeos - proposta 004","elasticidade","alongamento gémeos","Elasticidade > Casa","gémeos","bench","casa","fecha lacunas por zona corporal","zona corporal","P0","baixo","essencial","nao","v0.9.9B"
"alongamento adutores - adutores - proposta 005","elasticidade","alongamento adutores","Elasticidade > Pós-treino","adutores","mat","ginásio","melhora opções de pós-treino","regressão","P0","baixo","essencial","nao","v0.9.9B"
"alongamento ombro - ombro - proposta 006","elasticidade","alongamento ombro","Elasticidade > Recuperação","ombro","nenhum","dojo","cria regressões para iniciantes","pós-treino","P0","baixo","essencial","nao","v0.9.9B"
"alongamento cadeia posterior - isquiotibiais - proposta 007","elasticidade","alongamento cadeia posterior","Elasticidade > Casa","isquiotibiais","strap","casa","fecha lacunas por zona corporal","zona corporal","P0","baixo","essencial","nao","v0.9.9B"
"alongamento flexores da anca - flexores da anca - proposta 008","elasticidade","alongamento flexores da anca","Elasticidade > Pós-treino","flexores da anca","wall","ginásio","melhora opções de pós-treino","regressão","P0","baixo","essencial","nao","v0.9.9B"
"alongamento peitoral - peitoral - proposta 009","elasticidade","alongamento peitoral","Elasticidade > Recuperação","peitoral","bench","dojo","cria regressões para iniciantes","pós-treino","P0","baixo","essencial","nao","v0.9.9B"
"alongamento gémeos - gémeos - proposta 010","elasticidade","alongamento gémeos","Elasticidade > Casa","gémeos","mat","casa","fecha lacunas por zona corporal","zona corporal","P1","baixo","essencial","nao","v0.9.9B"
"alongamento adutores - adutores - proposta 011","elasticidade","alongamento adutores","Elasticidade > Pós-treino","adutores","nenhum","ginásio","melhora opções de pós-treino","regressão","P1","baixo","essencial","nao","v0.9.9B"
"alongamento ombro - ombro - proposta 012","elasticidade","alongamento ombro","Elasticidade > Recuperação","ombro","strap","dojo","cria regressões para iniciantes","pós-treino","P1","baixo","essencial","nao","v0.9.9B"
