name,catalog_entry_key,primary_type
"Elevação do dedo grande","elevacao_do_dedo_grande__mobilidade","mobilidade"
"Elevação dos quatro dedos","elevacao_dos_quatro_dedos__mobilidade","mobilidade"
"Flexão dos dedos na toalha","flexao_dos_dedos_na_toalha__mobilidade","mobilidade"
"Mobilidade do dedo grande na parede","mobilidade_do_dedo_grande_na_parede__mobilidade","mobilidade"
"Pronação e supinação controlada do pé","pronacao_e_supinacao_controlada_do_pe__mobilidade","mobilidade"
"Equilíbrio unipodal","equilibrio_unipodal__mobilidade","mobilidade"
"Sit to stand sem mãos","sit_to_stand_sem_maos__mobilidade","mobilidade"
"Technical stand-up lento","technical_stand_up_lento__mobilidade","artes_marciais"
"Entrar e sair do agachamento profundo assistido","entrar_e_sair_do_agachamento_profundo_assistido__mobilidade","mobilidade"
"Agachamento profundo com troca de peso","agachamento_profundo_com_troca_de_peso__mobilidade","mobilidade"
"Bear crawl leve","bear_crawl_leve__mobilidade","mobilidade"
"Crawling em quadrupedia lento","crawling_em_quadrupedia_lento__mobilidade","mobilidade"
"Rolamento lateral controlado","rolamento_lateral_controlado__mobilidade","mobilidade"
"Rolamento frontal suave","rolamento_frontal_suave__mobilidade","mobilidade"
"World greatest stretch flow","world_greatest_stretch_flow__mobilidade","mobilidade"
"Flow guarda, chão e levantar","flow_guarda_chao_e_levantar__mobilidade","mobilidade"
"Câmara de pontapé frontal com apoio","camara_de_pontape_frontal_com_apoio__mobilidade","mobilidade"
"Câmara de pontapé circular com apoio","camara_de_pontape_circular_com_apoio__mobilidade","mobilidade"
"Pontapé lento sem impacto","pontape_lento_sem_impacto__mobilidade","mobilidade"
"90/90 para guarda no chão","90_90_para_guarda_no_chao__mobilidade","mobilidade"
"Shrimp lento de mobilidade","shrimp_lento_de_mobilidade__mobilidade","mobilidade"
"Sprawl lento por fases","sprawl_lento_por_fases__mobilidade","mobilidade"
"Technical stand-up lento por fases","technical_stand_up_lento_por_fases__mobilidade","artes_marciais"
"Postura de clinch sem parceiro","postura_de_clinch_sem_parceiro__mobilidade","mobilidade"
"Pivot lento de boxe","pivot_lento_de_boxe__mobilidade","mobilidade"
"Pivot para pontapé circular","pivot_para_pontape_circular__mobilidade","mobilidade"
"Preparação de punhos para ukemi","preparacao_de_punhos_para_ukemi__mobilidade","mobilidade"
"Rolamento suave de preparação","rolamento_suave_de_preparacao__mobilidade","mobilidade"
"mobilidade","mobilidade__mobilidade","mobilidade"
"Inclinação lateral do pescoço sentado","inclinacao_lateral_do_pescoco_sentado__elasticidade","elasticidade"
"Inclinação lateral com mão atrás das costas","inclinacao_lateral_com_mao_atras_das_costas__elasticidade","elasticidade"
"Alongamento do trapézio superior sentado","alongamento_do_trapezio_superior_sentado__elasticidade","elasticidade"
"Trapézio superior com mão presa à cadeira","trapezio_superior_com_mao_presa_a_cadeira__elasticidade","elasticidade"
"Alongamento do elevador da escápula em diagonal","alongamento_do_elevador_da_escapula_em_diagonal__elasticidade","elasticidade"
"Alongamento suave dos escalenos com respiração","alongamento_suave_dos_escalenos_com_respiracao__elasticidade","elasticidade"
"Relaxamento suboccipital deitado","relaxamento_suboccipital_deitado__elasticidade","elasticidade"
"Sequência cervical leve pós-treino","sequencia_cervical_leve_pos_treino__elasticidade","elasticidade"
"Alongamento de peito na porta","alongamento_de_peito_na_porta__elasticidade","elasticidade"
"Alongamento unilateral de peito na porta","alongamento_unilateral_de_peito_na_porta__elasticidade","elasticidade"
"Alongamento de peito no canto","alongamento_de_peito_no_canto__elasticidade","elasticidade"
"Mãos atrás das costas","maos_atras_das_costas__elasticidade","elasticidade"
"Ombro anterior com mãos apoiadas atrás","ombro_anterior_com_maos_apoiadas_atras__elasticidade","elasticidade"
"Alongamento do bíceps na parede","alongamento_do_biceps_na_parede__elasticidade","elasticidade"
"Bíceps com palma na parede dedos para trás","biceps_com_palma_na_parede_dedos_para_tras__elasticidade","elasticidade"
"Abertura dinâmica de braços","abertura_dinamica_de_bracos__elasticidade","elasticidade"
"Cooldown de peito pós-empurrar","cooldown_de_peito_pos_empurrar__elasticidade","elasticidade"
"Child pose com braços longos","child_pose_com_bracos_longos__elasticidade","elasticidade"
"Child pose com mãos em banco","child_pose_com_maos_em_banco__elasticidade","elasticidade"
"Child pose lateral","child_pose_lateral__elasticidade","elasticidade"
"Alongamento lateral em pé","alongamento_lateral_em_pe__elasticidade","elasticidade"
"Suspensão passiva leve na barra","suspensao_passiva_leve_na_barra__elasticidade","elasticidade"
"Suspensão com pés apoiados","suspensao_com_pes_apoiados__elasticidade","elasticidade"
"Alongamento do quadrado lombar sentado","alongamento_do_quadrado_lombar_sentado__elasticidade","elasticidade"
"Alongamento lateral com respiração","alongamento_lateral_com_respiracao__elasticidade","elasticidade"
"Cooldown de dorsal pós-puxar","cooldown_de_dorsal_pos_puxar__elasticidade","elasticidade"
"Braço cruzado à frente do peito","braco_cruzado_a_frente_do_peito__elasticidade","elasticidade"
"Alongamento posterior com apoio na parede","alongamento_posterior_com_apoio_na_parede__elasticidade","elasticidade"
"Alongamento do deltoide posterior sentado","alongamento_do_deltoide_posterior_sentado__elasticidade","elasticidade"
"Abraçar o próprio corpo","abracar_o_proprio_corpo__elasticidade","elasticidade"
"Alcance à frente com mãos entrelaçadas","alcance_a_frente_com_maos_entrelacadas__elasticidade","elasticidade"
"Sleeper stretch leve","sleeper_stretch_leve__elasticidade","elasticidade"
"Cooldown posterior do ombro pós-puxar","cooldown_posterior_do_ombro_pos_puxar__elasticidade","elasticidade"
"Relaxamento dos ombros pós-guarda alta","relaxamento_dos_ombros_pos_guarda_alta__elasticidade","elasticidade"
"Tríceps acima da cabeça","triceps_acima_da_cabeca__elasticidade","elasticidade"
"Tríceps acima da cabeça com toalha","triceps_acima_da_cabeca_com_toalha__elasticidade","elasticidade"
"Braço acima da cabeça na parede","braco_acima_da_cabeca_na_parede__elasticidade","elasticidade"
"Child pose com cotovelos dobrados","child_pose_com_cotovelos_dobrados__elasticidade","elasticidade"
"Respiração em posição overhead","respiracao_em_posicao_overhead__elasticidade","elasticidade"
"Cooldown de tríceps pós-empurrar","cooldown_de_triceps_pos_empurrar__elasticidade","elasticidade"
"Alongamento dos flexores do punho na parede","alongamento_dos_flexores_do_punho_na_parede__elasticidade","elasticidade"
"Palmas no chão dedos para trás","palmas_no_chao_dedos_para_tras__elasticidade","elasticidade"
"Alongamento dos extensores do punho","alongamento_dos_extensores_do_punho__elasticidade","elasticidade"
"Dorso da mão no chão leve","dorso_da_mao_no_chao_leve__elasticidade","elasticidade"
"Relaxamento de rotação do antebraço","relaxamento_de_rotacao_do_antebraco__elasticidade","elasticidade"
"Alongamento de extensão dos dedos","alongamento_de_extensao_dos_dedos__elasticidade","elasticidade"
"Alongamento de flexão dos dedos","alongamento_de_flexao_dos_dedos__elasticidade","elasticidade"
"Shake out das mãos","shake_out_das_maos__elasticidade","elasticidade"
"Sequência pós-pega para antebraço","sequencia_pos_pega_para_antebraco__elasticidade","elasticidade"
"Sphinx pose","sphinx_pose__elasticidade","elasticidade"
"Cobra leve","cobra_leve__elasticidade","elasticidade"
"Cobra baixa com respiração","cobra_baixa_com_respiracao__elasticidade","elasticidade"
"Inclinação lateral em pé","inclinacao_lateral_em_pe__elasticidade","elasticidade"
"Alcance lateral sentado","alcance_lateral_sentado__elasticidade","elasticidade"
"Respiração em extensão leve","respiracao_em_extensao_leve__elasticidade","elasticidade"
"Cooldown abdominal pós-core","cooldown_abdominal_pos_core__elasticidade","elasticidade"
"Figura 4 deitado","figura_4_deitado__elasticidade","elasticidade"
"Figura 4 sentado","figura_4_sentado__elasticidade","elasticidade"
"Piriforme deitado joelho ao peito cruzado","piriforme_deitado_joelho_ao_peito_cruzado__elasticidade","elasticidade"
"Pigeon passivo com apoio","pigeon_passivo_com_apoio__elasticidade","elasticidade"
"90/90 passivo para glúteo","90_90_passivo_para_gluteo__elasticidade","elasticidade"
"PNF leve de glúteo em figura 4","pnf_leve_de_gluteo_em_figura_4__elasticidade","elasticidade"
"Cooldown de glúteos pós-pernas","cooldown_de_gluteos_pos_pernas__elasticidade","elasticidade"
"Flexor da anca em meio ajoelhado","flexor_da_anca_em_meio_ajoelhado__elasticidade","elasticidade"
"Flexor da anca com braço acima da cabeça","flexor_da_anca_com_braco_acima_da_cabeca__elasticidade","elasticidade"
"Couch stretch leve","couch_stretch_leve__elasticidade","elasticidade"
"Couch stretch com glúteo contraído","couch_stretch_com_gluteo_contraido__elasticidade","elasticidade"
"Quadríceps em pé","quadriceps_em_pe__elasticidade","elasticidade"
"Quadríceps deitado de lado","quadriceps_deitado_de_lado__elasticidade","elasticidade"
"Reto femoral em meio ajoelhado com pé elevado","reto_femoral_em_meio_ajoelhado_com_pe_elevado__elasticidade","elasticidade"
"Lunge dinâmico de flexores da anca","lunge_dinamico_de_flexores_da_anca__elasticidade","elasticidade"
"PNF leve dos flexores da anca","pnf_leve_dos_flexores_da_anca__elasticidade","elasticidade"
"Cooldown de quadríceps pós-pernas","cooldown_de_quadriceps_pos_pernas__elasticidade","elasticidade"
"Posterior de coxa deitado com toalha","posterior_de_coxa_deitado_com_toalha__elasticidade","elasticidade"
"Posterior de coxa deitado unilateral","posterior_de_coxa_deitado_unilateral__elasticidade","elasticidade"
"Posterior de coxa sentado","posterior_de_coxa_sentado__elasticidade","elasticidade"
"Alongamento em pé com dobradiça de anca","alongamento_em_pe_com_dobradica_de_anca__elasticidade","elasticidade"
"Perna elevada em banco","perna_elevada_em_banco__elasticidade","elasticidade"
"Leg swings frontais controlados","leg_swings_frontais_controlados__elasticidade","elasticidade"
"PNF posterior de coxa deitado","pnf_posterior_de_coxa_deitado__elasticidade","elasticidade"
"Posterior de coxa para pontapé frontal","posterior_de_coxa_para_pontape_frontal__elasticidade","elasticidade"
"Cooldown de posterior pós-peso morto","cooldown_de_posterior_pos_peso_morto__elasticidade","elasticidade"
"Borboleta sentada","borboleta_sentada__elasticidade","elasticidade"
"Borboleta com inclinação do tronco","borboleta_com_inclinacao_do_tronco__elasticidade","elasticidade"
"Frog stretch","frog_stretch__elasticidade","elasticidade"
"Alongamento lateral de adutores","alongamento_lateral_de_adutores__elasticidade","elasticidade"
"Cossack passivo","cossack_passivo__elasticidade","elasticidade"
"Rock back de adutores dinâmico","rock_back_de_adutores_dinamico__elasticidade","elasticidade"
"PNF de adutores em borboleta","pnf_de_adutores_em_borboleta__elasticidade","elasticidade"
"Abertura lateral assistida","abertura_lateral_assistida__elasticidade","elasticidade"
"Cooldown de adutores pós-artes marciais","cooldown_de_adutores_pos_artes_marciais__elasticidade","elasticidade"
"TFL em pé com perna cruzada","tfl_em_pe_com_perna_cruzada__elasticidade","elasticidade"
"TFL contra parede","tfl_contra_parede__elasticidade","elasticidade"
"Alongamento lateral da anca deitado","alongamento_lateral_da_anca_deitado__elasticidade","elasticidade"
"Glúteo médio joelho cruzado ao peito","gluteo_medio_joelho_cruzado_ao_peito__elasticidade","elasticidade"
"Cadeia lateral da coxa com perna cruzada","cadeia_lateral_da_coxa_com_perna_cruzada__elasticidade","elasticidade"
"Cooldown lateral da anca pós-corrida","cooldown_lateral_da_anca_pos_corrida__elasticidade","elasticidade"
"Gémeos na parede com joelho estendido","gemeos_na_parede_com_joelho_estendido__elasticidade","elasticidade"
"Gémeos com apoio em degrau baixo","gemeos_com_apoio_em_degrau_baixo__elasticidade","elasticidade"
"Sóleo na parede com joelho fletido","soleo_na_parede_com_joelho_fletido__elasticidade","elasticidade"
"Alongamento de gémeos em degrau","alongamento_de_gemeos_em_degrau__elasticidade","elasticidade"
"Rocking dinâmico de tornozelo e gémeos","rocking_dinamico_de_tornozelo_e_gemeos__elasticidade","elasticidade"
"Alongamento leve do Aquiles","alongamento_leve_do_aquiles__elasticidade","elasticidade"
"Cooldown de gémeos pós-corrida","cooldown_de_gemeos_pos_corrida__elasticidade","elasticidade"
"Tibial anterior ajoelhado","tibial_anterior_ajoelhado__elasticidade","elasticidade"
"Peito do pé sentado sobre os pés","peito_do_pe_sentado_sobre_os_pes__elasticidade","elasticidade"
"Peito do pé em pé com apoio","peito_do_pe_em_pe_com_apoio__elasticidade","elasticidade"
"Alongamento dos extensores dos dedos do pé","alongamento_dos_extensores_dos_dedos_do_pe__elasticidade","elasticidade"
"Cooldown leve da canela pós-corrida","cooldown_leve_da_canela_pos_corrida__elasticidade","elasticidade"
"Peito do pé para pontapés","peito_do_pe_para_pontapes__elasticidade","elasticidade"
"Dedos contra parede","dedos_contra_parede__elasticidade","elasticidade"
"Alongamento da planta do pé ajoelhado","alongamento_da_planta_do_pe_ajoelhado__elasticidade","elasticidade"
"Alongamento do dedo grande na parede","alongamento_do_dedo_grande_na_parede__elasticidade","elasticidade"
"Alongamento dos flexores dos dedos","alongamento_dos_flexores_dos_dedos__elasticidade","elasticidade"
"Bola de massagem na planta do pé","bola_de_massagem_na_planta_do_pe__elasticidade","elasticidade"
"Sequência de pés pós-dia em pé","sequencia_de_pes_pos_dia_em_pe__elasticidade","elasticidade"
"Half split","half_split__elasticidade","elasticidade"
"Half split com pé fletido","half_split_com_pe_fletido__elasticidade","elasticidade"
"Lunge profundo para abertura frontal","lunge_profundo_para_abertura_frontal__elasticidade","elasticidade"
"Abertura frontal assistida com apoios","abertura_frontal_assistida_com_apoios__elasticidade","elasticidade"
"PNF em half split","pnf_em_half_split__elasticidade","elasticidade"
"Perna elevada em banco para pontapé frontal","perna_elevada_em_banco_para_pontape_frontal__elasticidade","elasticidade"
"Pontapé frontal lento com amplitude progressiva","pontape_frontal_lento_com_amplitude_progressiva__elasticidade","elasticidade"
"Abertura lateral em pé assistida","abertura_lateral_em_pe_assistida__elasticidade","elasticidade"
"Abertura lateral com apoios","abertura_lateral_com_apoios__elasticidade","elasticidade"
"Frog stretch para side split","frog_stretch_para_side_split__elasticidade","elasticidade"
"Cossack passivo para side split","cossack_passivo_para_side_split__elasticidade","elasticidade"
"PNF de adutores para side split","pnf_de_adutores_para_side_split__elasticidade","elasticidade"
"Adutor em banco para pontapé circular","adutor_em_banco_para_pontape_circular__elasticidade","elasticidade"
"Pontapé circular lento com amplitude progressiva","pontape_circular_lento_com_amplitude_progressiva__elasticidade","elasticidade"
"elasticidade","elasticidade__elasticidade","elasticidade"
"mobilidade","mobilidade__elasticidade","elasticidade"
"Caminhada leve de recuperação","caminhada_leve_de_recuperacao__recuperacao","recuperacao"
"Caminhada nasal leve","caminhada_nasal_leve__recuperacao","recuperacao"
"Passeio leve pós-refeição","passeio_leve_pos_refeicao__recuperacao","recuperacao"
"Bicicleta muito leve de recuperação","bicicleta_muito_leve_de_recuperacao__recuperacao","recuperacao"
"Bicicleta leve pós-treino de pernas","bicicleta_leve_pos_treino_de_pernas__recuperacao","recuperacao"
"Elíptica muito leve de recuperação","eliptica_muito_leve_de_recuperacao__recuperacao","recuperacao"
"Air bike muito leve de recuperação","air_bike_muito_leve_de_recuperacao__recuperacao","recuperacao"
"Remo ergómetro muito leve","remo_ergometro_muito_leve__recuperacao","recuperacao"
"Cardio zona 1 em máquina","cardio_zona_1_em_maquina__recuperacao","recuperacao"
"Flush pós-pernas","flush_pos_pernas__recuperacao","recuperacao"
"Sombra técnica muito leve","sombra_tecnica_muito_leve__recuperacao","recuperacao"
"Footwork leve de recuperação","footwork_leve_de_recuperacao__recuperacao","recuperacao"
"Cooldown na passadeira","cooldown_na_passadeira__recuperacao","recuperacao"
"Cooldown caminhada exterior","cooldown_caminhada_exterior__recuperacao","recuperacao"
"Cooldown pós-musculação geral","cooldown_pos_musculacao_geral__recuperacao","recuperacao"
"Cooldown pós-treino superior","cooldown_pos_treino_superior__recuperacao","recuperacao"
"Cooldown pós-treino inferior","cooldown_pos_treino_inferior__recuperacao","recuperacao"
"Cooldown pós-corrida","cooldown_pos_corrida__recuperacao","recuperacao"
"Cooldown pós-intervalos intensos","cooldown_pos_intervalos_intensos__recuperacao","recuperacao"
"Cooldown pós-Karate","cooldown_pos_karate__recuperacao","recuperacao"
"Cooldown pós-BJJ","cooldown_pos_bjj__recuperacao","recuperacao"
"Cooldown pós-saco","cooldown_pos_saco__recuperacao","recuperacao"
"Reset respiratório sentado","reset_respiratorio_sentado__recuperacao","recuperacao"
"Reset articular pós-treino","reset_articular_pos_treino__recuperacao","recuperacao"
"Respiração com expiração longa deitado","respiracao_com_expiracao_longa_deitado__recuperacao","recuperacao"
"Respiração 4 entra, 6 sai","respiracao_4_entra_6_sai__recuperacao","recuperacao"
"Respiração 90/90 na parede","respiracao_90_90_na_parede__recuperacao","recuperacao"
"Respiração 90/90 com pés no sofá","respiracao_90_90_com_pes_no_sofa__recuperacao","recuperacao"
"Box breathing leve","box_breathing_leve__recuperacao","recuperacao"
"Caminhada leve com respiração nasal","caminhada_leve_com_respiracao_nasal__recuperacao","recuperacao"
"Respiração costal lateral","respiracao_costal_lateral__recuperacao","recuperacao"
"Sequência desligar pós-treino","sequencia_desligar_pos_treino__recuperacao","recuperacao"
"CARs leves de corpo inteiro","cars_leves_de_corpo_inteiro__recuperacao","recuperacao"
"CARs leves de ombros e anca","cars_leves_de_ombros_e_anca__recuperacao","recuperacao"
"Flow leve de mobilidade","flow_leve_de_mobilidade__recuperacao","recuperacao"
"Reset articular matinal","reset_articular_matinal__recuperacao","recuperacao"
"Reset articular ao fim do dia","reset_articular_ao_fim_do_dia__recuperacao","recuperacao"
"Flow leve coluna e anca","flow_leve_coluna_e_anca__recuperacao","recuperacao"
"Cat cow e 90/90 leve","cat_cow_e_90_90_leve__recuperacao","recuperacao"
"Flow leve de ombros","flow_leve_de_ombros__recuperacao","recuperacao"
"Alongamento estático leve geral","alongamento_estatico_leve_geral__recuperacao","recuperacao"
"Sequência leve pós-treino superior","sequencia_leve_pos_treino_superior__recuperacao","recuperacao"
"Sequência leve pós-treino inferior","sequencia_leve_pos_treino_inferior__recuperacao","recuperacao"
"Alongamentos leves à noite","alongamentos_leves_a_noite__recuperacao","recuperacao"
"Pescoço e peito pós-computador","pescoco_e_peito_pos_computador__recuperacao","recuperacao"
"Anca e posterior leve","anca_e_posterior_leve__recuperacao","recuperacao"
"Alongamento leve pós-pontapés","alongamento_leve_pos_pontapes__recuperacao","recuperacao"
"Foam roller nos quadríceps","foam_roller_nos_quadriceps__recuperacao","recuperacao"
"Foam roller nos gémeos","foam_roller_nos_gemeos__recuperacao","recuperacao"
"Foam roller nos glúteos","foam_roller_nos_gluteos__recuperacao","recuperacao"
"Foam roller no dorsal","foam_roller_no_dorsal__recuperacao","recuperacao"
"Foam roller na parte alta das costas","foam_roller_na_parte_alta_das_costas__recuperacao","recuperacao"
"Foam roller nos adutores","foam_roller_nos_adutores__recuperacao","recuperacao"
"Sequência foam roller pós-pernas","sequencia_foam_roller_pos_pernas__recuperacao","recuperacao"
"Foam roller pós-artes marciais","foam_roller_pos_artes_marciais__recuperacao","recuperacao"
"Bola de massagem na planta do pé","bola_de_massagem_na_planta_do_pe__recuperacao","recuperacao"
"Bola de massagem nos glúteos","bola_de_massagem_nos_gluteos__recuperacao","recuperacao"
"Bola de massagem no peitoral contra parede","bola_de_massagem_no_peitoral_contra_parede__recuperacao","recuperacao"
"Bola no trapézio contra parede","bola_no_trapezio_contra_parede__recuperacao","recuperacao"
"Bola de massagem no antebraço","bola_de_massagem_no_antebraco__recuperacao","recuperacao"
"Bola nas costas altas contra parede","bola_nas_costas_altas_contra_parede__recuperacao","recuperacao"
"Pistola de massagem nos quadríceps","pistola_de_massagem_nos_quadriceps__recuperacao","recuperacao"
"Pistola de massagem nos glúteos","pistola_de_massagem_nos_gluteos__recuperacao","recuperacao"
"Pistola de massagem nos gémeos","pistola_de_massagem_nos_gemeos__recuperacao","recuperacao"
"Pistola de massagem no dorsal","pistola_de_massagem_no_dorsal__recuperacao","recuperacao"
"Pistola de massagem no deltoide","pistola_de_massagem_no_deltoide__recuperacao","recuperacao"
"Protocolo seguro de pistola de massagem","protocolo_seguro_de_pistola_de_massagem__recuperacao","recuperacao"
"Calor leve para relaxamento muscular","calor_leve_para_relaxamento_muscular__recuperacao","recuperacao"
"Duche quente pós-treino leve","duche_quente_pos_treino_leve__recuperacao","recuperacao"
"Frio local curto","frio_local_curto__recuperacao","recuperacao"
"Contraste simples no duche","contraste_simples_no_duche__recuperacao","recuperacao"
"Calor para rigidez matinal","calor_para_rigidez_matinal__recuperacao","recuperacao"
"Checklist de segurança para temperatura","checklist_de_seguranca_para_temperatura__recuperacao","recuperacao"
"Shake out de mãos entre rounds","shake_out_de_maos_entre_rounds__recuperacao","recuperacao"
"Shake out pós-barras","shake_out_pos_barras__recuperacao","recuperacao"
"Alongamento leve de flexores do punho","alongamento_leve_de_flexores_do_punho__recuperacao","recuperacao"
"Alongamento leve de extensores do punho","alongamento_leve_de_extensores_do_punho__recuperacao","recuperacao"
"Extensão dos dedos com elástico leve","extensao_dos_dedos_com_elastico_leve__recuperacao","recuperacao"
"Sequência pós-BJJ para pega","sequencia_pos_bjj_para_pega__recuperacao","recuperacao"
"Sequência pós-barras e farmer walks","sequencia_pos_barras_e_farmer_walks__recuperacao","recuperacao"
"Reset de punhos após apoios","reset_de_punhos_apos_apoios__recuperacao","recuperacao"
"Recuperação dos pés após dia em pé","recuperacao_dos_pes_apos_dia_em_pe__recuperacao","recuperacao"
"Libertação leve da planta do pé","libertacao_leve_da_planta_do_pe__recuperacao","recuperacao"
"Mobilidade leve de tornozelo pós-treino","mobilidade_leve_de_tornozelo_pos_treino__recuperacao","recuperacao"
"Recuperação de gémeos pós-corrida","recuperacao_de_gemeos_pos_corrida__recuperacao","recuperacao"
"Recuperação de tibial anterior pós-passadeira","recuperacao_de_tibial_anterior_pos_passadeira__recuperacao","recuperacao"
"Elevação leve de pernas","elevacao_leve_de_pernas__recuperacao","recuperacao"
"Sequência pós-trabalho físico de pernas","sequencia_pos_trabalho_fisico_de_pernas__recuperacao","recuperacao"
"Posição de descarga lombar com pernas elevadas","posicao_de_descarga_lombar_com_pernas_elevadas__recuperacao","recuperacao"
"Child pose leve para lombar","child_pose_leve_para_lombar__recuperacao","recuperacao"
"Cat cow leve de recuperação","cat_cow_leve_de_recuperacao__recuperacao","recuperacao"
"Reset coluna pós-computador","reset_coluna_pos_computador__recuperacao","recuperacao"
"Reset de costas altas e escápulas","reset_de_costas_altas_e_escapulas__recuperacao","recuperacao"
"Recuperação lombar pós-dobradiça","recuperacao_lombar_pos_dobradica__recuperacao","recuperacao"
"Checklist de alerta para lombar","checklist_de_alerta_para_lombar__recuperacao","recuperacao"
"Sequência pós-Karate","sequencia_pos_karate__recuperacao","recuperacao"
"Sequência pós-BJJ","sequencia_pos_bjj__recuperacao","recuperacao"
"Sequência pós-saco","sequencia_pos_saco__recuperacao","recuperacao"
"Pescoço e ombros pós-grappling","pescoco_e_ombros_pos_grappling__recuperacao","recuperacao"
"Adutores e anca pós-artes marciais","adutores_e_anca_pos_artes_marciais__recuperacao","recuperacao"
"Desligar sistema nervoso pós-treino marcial","desligar_sistema_nervoso_pos_treino_marcial__recuperacao","recuperacao"
"Reset leve pós-sparring técnico","reset_leve_pos_sparring_tecnico__recuperacao","recuperacao"
"Check-in de carga do dia","check_in_de_carga_do_dia__recuperacao","recuperacao"
"Semana de deload por volume","semana_de_deload_por_volume__recuperacao","recuperacao"
"Semana de deload por intensidade","semana_de_deload_por_intensidade__recuperacao","recuperacao"
"Trocar sessão pesada por sessão leve","trocar_sessao_pesada_por_sessao_leve__recuperacao","recuperacao"
"Regra entre treinos do mesmo músculo","regra_entre_treinos_do_mesmo_musculo__recuperacao","recuperacao"
"Regra entre treinos de artes marciais","regra_entre_treinos_de_artes_marciais__recuperacao","recuperacao"
"Escala simples de prontidão","escala_simples_de_prontidao__recuperacao","recuperacao"
"Checklist de sinais de sobrecarga","checklist_de_sinais_de_sobrecarga__recuperacao","recuperacao"
"Rotina básica pré-sono","rotina_basica_pre_sono__recuperacao","recuperacao"
"Desaceleração ao fim do dia","desaceleracao_ao_fim_do_dia__recuperacao","recuperacao"
"Mobilidade leve antes de dormir","mobilidade_leve_antes_de_dormir__recuperacao","recuperacao"
"Respiração para pré-sono","respiracao_para_pre_sono__recuperacao","recuperacao"
"Recuperação após treino tardio","recuperacao_apos_treino_tardio__recuperacao","recuperacao"
"Dia de descanso estruturado","dia_de_descanso_estruturado__recuperacao","recuperacao"
"Triagem de dor muscular tardia","triagem_de_dor_muscular_tardia__recuperacao","recuperacao"
"Regra para dor articular","regra_para_dor_articular__recuperacao","recuperacao"
"Regra para tendão irritado","regra_para_tendao_irritado__recuperacao","recuperacao"
"Regra para formigueiro ou dormência","regra_para_formigueiro_ou_dormencia__recuperacao","recuperacao"
"Regra de parar em lesão aguda","regra_de_parar_em_lesao_aguda__recuperacao","recuperacao"
"Sinais para avaliação profissional","sinais_para_avaliacao_profissional__recuperacao","recuperacao"
"Cardio leve geral","cardio_leve_geral__aquecimento","aquecimento"
"Marcha no lugar progressiva","marcha_no_lugar_progressiva__aquecimento","aquecimento"
"Caminhada leve pré-treino","caminhada_leve_pre_treino__aquecimento","aquecimento"
"Bicicleta leve pré-treino","bicicleta_leve_pre_treino__aquecimento","aquecimento"
"Passadeira caminhada progressiva","passadeira_caminhada_progressiva__aquecimento","aquecimento"
"Passadeira corrida muito leve","passadeira_corrida_muito_leve__aquecimento","aquecimento"
"Corda leve de aquecimento","corda_leve_de_aquecimento__aquecimento","aquecimento"
"Corda boxer step leve","corda_boxer_step_leve__aquecimento","aquecimento"
"Sombra leve geral","sombra_leve_geral__aquecimento","aquecimento"
"Sombra com guarda e passos curtos","sombra_com_guarda_e_passos_curtos__aquecimento","aquecimento"
"Respiração em rampa leve","respiracao_em_rampa_leve__aquecimento","aquecimento"
"Caminhada com respiração progressiva","caminhada_com_respiracao_progressiva__aquecimento","aquecimento"
"CARs gerais de corpo inteiro","cars_gerais_de_corpo_inteiro__aquecimento","aquecimento"
"Sequência pescoço, ombros, anca e tornozelos","sequencia_pescoco_ombros_anca_e_tornozelos__aquecimento","aquecimento"
"Pescoço suave de aquecimento","pescoco_suave_de_aquecimento__aquecimento","aquecimento"
"Círculos de ombros","circulos_de_ombros__aquecimento","aquecimento"
"Shoulder CARs leves","shoulder_cars_leves__aquecimento","aquecimento"
"Círculos de punho e abrir dedos","circulos_de_punho_e_abrir_dedos__aquecimento","aquecimento"
"Rocking leve de punhos","rocking_leve_de_punhos__aquecimento","aquecimento"
"Cat cow leve pré-treino","cat_cow_leve_pre_treino__aquecimento","aquecimento"
"Rotação torácica em quadrupedia","rotacao_toracica_em_quadrupedia__aquecimento","aquecimento"
"Círculos de anca com apoio","circulos_de_anca_com_apoio__aquecimento","aquecimento"
"Flexão e extensão leve do joelho","flexao_e_extensao_leve_do_joelho__aquecimento","aquecimento"
"Círculos de tornozelo e dedos","circulos_de_tornozelo_e_dedos__aquecimento","aquecimento"
"World greatest stretch dinâmico","world_greatest_stretch_dinamico__aquecimento","aquecimento"
"Flow dinâmico curto","flow_dinamico_curto__aquecimento","aquecimento"
"Shin box switches dinâmicos","shin_box_switches_dinamicos__aquecimento","aquecimento"
"90/90 switches leves","90_90_switches_leves__aquecimento","aquecimento"
"Open book dinâmico","open_book_dinamico__aquecimento","aquecimento"
"Rotação torácica com alcance","rotacao_toracica_com_alcance__aquecimento","aquecimento"
"Knee to wall dinâmico","knee_to_wall_dinamico__aquecimento","aquecimento"
"Rocking de tornozelo em avanço","rocking_de_tornozelo_em_avanco__aquecimento","aquecimento"
"Leg swings frontais controlados","leg_swings_frontais_controlados__aquecimento","aquecimento"
"Walkouts de posterior leves","walkouts_de_posterior_leves__aquecimento","aquecimento"
"Rock back de adutores dinâmico","rock_back_de_adutores_dinamico__aquecimento","aquecimento"
